Condition,Medicine Names,Purpose
Metastatic Brain Tumor (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Levetiracetam (Keppra), Enoxaparin (Lovenox)","Pain relief, seizure prevention, blood clot prevention."
Basal Cell Carcinoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl","Reduce inflammation, prevent nausea, anesthesia adjuncts."
Basal Cell Carcinoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox)","Pain relief, anti-inflammatory, blood clot prevention."
Basal Cell Carcinoma (General Treatment),"Imiquimod (Aldara), Fluorouracil (5-FU), Vismodegib (Erivedge), Sonidegib (Odomzo), Interferon-alpha","Topical therapy, targeted therapy for advanced cases."
Advanced Basal Cell Carcinoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl","Swelling reduction, nausea prevention, anesthesia adjuncts."
Advanced Basal Cell Carcinoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Enoxaparin (Lovenox)","Pain management, clot prevention."
Superficial Basal Cell Carcinoma (General),"Imiquimod (Aldara), Fluorouracil (5-FU)",Topical treatment for localized tumors.
Bile Duct Cancer,"Gemcitabine (Gemzar), Cisplatin, Fluorouracil (5-FU), Capecitabine (Xeloda), Oxaliplatin",Chemotherapy to slow tumor growth and control symptoms.
Advanced Bile Duct Cancer,"Gemcitabine (Gemzar), Cisplatin, Pembrolizumab (Keytruda), Nivolumab (Opdivo), Durvalumab (Imfinzi)",Chemotherapy and immunotherapy for advanced stages.
Unresectable Bile Duct Cancer,"Gemcitabine (Gemzar), Cisplatin, Oxaliplatin, Capecitabine (Xeloda), FOLFIRINOX (combination therapy)",Palliative chemotherapy for inoperable cases.
Recurrent Bile Duct Cancer,"Fluorouracil (5-FU), Capecitabine (Xeloda), Oxaliplatin, Gemcitabine (Gemzar), Bevacizumab (Avastin)",Targeted therapy and chemotherapy for recurrent tumors.
Bile Duct Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Manage inflammation, nausea, anesthesia adjuncts, and infection prevention."
Bile Duct Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, blood clot prevention, and infection management."
Bile Duct Cancer (General Treatment),"Gemcitabine (Gemzar), Cisplatin, Fluorouracil (5-FU), Capecitabine (Xeloda), Oxaliplatin",Chemotherapy to slow tumor growth and control symptoms.
Advanced Bile Duct Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and anesthesia adjuncts."
Advanced Bile Duct Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain and clot prevention, infection management."
Advanced Bile Duct Cancer (General Treatment),"Gemcitabine (Gemzar), Cisplatin, Pembrolizumab (Keytruda), Nivolumab (Opdivo), Durvalumab (Imfinzi)",Chemotherapy and immunotherapy for advanced cases.
Bladder Cancer,"Mitomycin C, Bacillus Calmette-Guerin (BCG), Cisplatin, Gemcitabine (Gemzar), Methotrexate","Intravesical therapy, chemotherapy."
Advanced Bladder Cancer,"Atezolizumab (Tecentriq), Durvalumab (Imfinzi), Pembrolizumab (Keytruda), Cisplatin, Gemcitabine",Immunotherapy and systemic chemotherapy.
Non-muscle-invasive Bladder Cancer,"Bacillus Calmette-Guerin (BCG), Mitomycin C",Intravesical therapy to prevent recurrence.
Muscle-invasive Bladder Cancer,"Cisplatin, Gemcitabine (Gemzar), Carboplatin",Systemic chemotherapy to treat invasive cancer.
Metastatic Bladder Cancer,"Atezolizumab (Tecentriq), Pembrolizumab (Keytruda), Enfortumab Vedotin (Padcev)",Immunother
Bladder Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Cefazolin","Reduce inflammation, prevent nausea, and prevent infections."
Bladder Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Enoxaparin (Lovenox), Ceftriaxone","Pain relief, clot prevention, and infection management."
Bladder Cancer (General Treatment),"Mitomycin C, Bacillus Calmette-Guerin (BCG), Cisplatin, Gemcitabine (Gemzar), Methotrexate","Intravesical therapy, chemotherapy."
Advanced Bladder Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Cefazolin","Swelling reduction, nausea prevention, and infection prevention."
Advanced Bladder Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Enoxaparin (Lovenox), Ceftriaxone","Pain management, clot prevention, and infection control."
Bone Cancer,"Methotrexate, Doxorubicin, Cyclophosphamide, Ifosfamide, Cisplatin, Etoposide, Zoledronic Acid","Chemotherapy, pain management, and bone strengthening."
Osteosarcoma (Bone Cancer),"Methotrexate, Doxorubicin, Cisplatin, Ifosfamide, Etoposide, Mifamurtide (Mepact)",Chemotherapy for treating osteosarcoma.
Chondrosarcoma,"Doxorubicin, Ifosfamide, Cyclophosphamide, Cisplatin",Chemotherapy for chondrosarcoma (not responsive to surgery).
Ewing’s Sarcoma,"Vincristine, Doxorubicin, Cyclophosphamide, Ifosfamide, Etoposide, Methotrexate",Chemotherapy for Ewing's Sarcoma treatment.
Metastatic Bone Cancer,"Bisphosphonates (Zoledronic Acid), Denosumab (Xgeva), Palbociclib",For bone metastases and reducing bone pain and fractures.
Bone Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, prevent nausea, anesthesia adjuncts, and infection prevention."
Bone Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, blood clot prevention, and infection management."
Osteosarcoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and anesthesia adjuncts."
Osteosarcoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain control, blood clot prevention, and infection management."
Ewing’s Sarcoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin",Reduce inflammation and prevent nausea before surgery.
Ewing’s Sarcoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone","Manage pain, prevent blood clots, and treat infections."
Chondrosarcoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection prevention before surgery."
Chondrosarcoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, prevent blood clots, and reduce infection risk."
Metastatic Bone Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, nausea, and infection risk."
Metastatic Bone Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone","Pain management, blood clot prevention, and infection management."
Brain Tumors (General Treatment),"Dexamethasone, Temozolomide (Temodar), Lomustine (CeeNU), Carmustine (BCNU), Bevacizumab (Avastin), Vincristine, Cyclophosphamide","Chemotherapy, steroids for swelling, targeted therapy, and pain management."
Glioblastoma (GBM),"Temozolomide (Temodar), Bevacizumab (Avastin), Lomustine (CeeNU), Carmustine (BCNU)",Chemotherapy and targeted therapy for aggressive tumor treatment.
Meningioma,"Dexamethasone, Prednisone, Hydroxyurea, Temozolomide (Temodar), Bevacizumab (Avastin)","Steroids, chemotherapy, and targeted therapy for tumor control."
Pituitary Tumors,"Bromocriptine, Cabergoline, Temozolomide (Temodar), Octreotide, Leuprolide",Hormonal therapy and chemotherapy for pituitary tumor management.
Medulloblastoma,"Vincristine, Cyclophosphamide, Cisplatin, Methotrexate, Temozolomide (Temodar)","Chemotherapy for pediatric brain tumors, especially medulloblastomas."
Brain Tumors (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin, Mannitol","Reducing brain swelling, nausea prevention, anesthesia adjuncts, and infection prevention."
Brain Tumors (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, blood clot prevention."
Glioblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol","Swelling reduction, nausea prevention, and anesthesia adjuncts."
Glioblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain relief, blood clot prevention, and infection management."
Meningioma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol",Reduce brain swelling and control nausea pre-surgery.
Meningioma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection control, and clot prevention."
Pituitary Tumors (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol, Cefazolin","Swelling reduction, anesthesia, and infection prevention."
Pituitary Tumors (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain control, blood clot prevention, and infection treatment."
Medulloblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin",Pre-surgery swelling reduction and nausea prevention.
Medulloblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin",Post-operative pain management and infection control.
Breast Cancer (General Treatment),"Tamoxifen, Letrozole (Femara), Anastrozole (Arimidex), Exemestane (Aromasin), Trastuzumab (Herceptin), Pertuzumab (Perjeta), Palbociclib, Docetaxel (Taxotere), Doxorubicin (Adriamycin)","Hormone therapy, chemotherapy, targeted therapy, and HER2 inhibitors for tumor control."
Early-Stage Breast Cancer,"Tamoxifen, Anastrozole (Arimidex), Letrozole (Femara), Doxorubicin (Adriamycin), Cyclophosphamide, Paclitaxel (Taxol), Trastuzumab (Herceptin)","Adjuvant chemotherapy, hormone therapy, and HER2 inhibitors."
HER2-Positive Breast Cancer,"Trastuzumab (Herceptin), Pertuzumab (Perjeta), Lapatinib, T-DM1 (Kadcyla), Docetaxel, Paclitaxel",Targeted therapy for HER2-positive tumors.
Triple-Negative Breast Cancer,"Cyclophosphamide, Doxorubicin (Adriamycin), Paclitaxel (Taxol), Carboplatin, Pembrolizumab (Keytruda)",Chemotherapy and immunotherapy for aggressive triple-negative subtype.
Metastatic Breast Cancer,"Palbociclib, Letrozole (Femara), Trastuzumab (Herceptin), Capecitabine (Xeloda), Docetaxel (Taxotere), Everolimus (Afinitor), Ibrance","Targeted therapy, chemotherapy, and endocrine therapy for advanced stages."
Breast Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, prevent nausea, anesthesia adjuncts, and infection prevention."
Breast Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention."
HER2-Positive Breast Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection control before surgery."
HER2-Positive Breast Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, blood clot prevention, and infection control."
Triple-Negative Breast Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection control pre-surgery."
Triple-Negative Breast Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain control, blood clot prevention, and infection management."
Metastatic Breast Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce swelling, nausea prevention, and infection control before surgery."
Metastatic Breast Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain relief, infection prevention, and clot prevention."
Bronchial Tumors (General Treatment),"Cisplatin, Carboplatin, Docetaxel, Paclitaxel, Etoposide, Gemcitabine, Vinorelbine, Pemetrexed, Erlotinib, Gefitinib, Pembrolizumab (Keytruda)","Chemotherapy, targeted therapy, and immunotherapy for tumor treatment."
Non-small Cell Lung Cancer (NSCLC),"Cisplatin, Carboplatin, Docetaxel, Paclitaxel, Pemetrexed, Bevacizumab (Avastin), Erlotinib, Gefitinib, Pembrolizumab (Keytruda)","Chemotherapy, targeted therapy, and immunotherapy for advanced disease."
Small Cell Lung Cancer (SCLC),"Etoposide, Cisplatin, Carboplatin, Cyclophosphamide, Doxorubicin, Vincristine, Irinotecan","Chemotherapy, as SCLC is typically treated with combination regimens."
Metastatic Bronchial Tumors,"Pembrolizumab (Keytruda), Nivolumab (Opdivo), Atezolizumab (Tecentriq), Bevacizumab (Avastin)",Immunotherapy and targeted therapy for metastatic disease control.
Pneumonectomy or Lobectomy Surgery (for Bronchial Tumors),"Cisplatin, Carboplatin, Gemcitabine, Pemetrexed, Vinorelbine, Bevacizumab (Avastin)",Chemotherapy and targeted therapy used as adjuvant treatment following surgery.
Bronchial Tumors (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin, Mannitol","Reduce inflammation, prevent nausea, anesthesia adjuncts, and infection prevention."
Bronchial Tumors (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention."
Non-small Cell Lung Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol, Cefazolin","Swelling reduction, nausea prevention, and infection prevention."
Non-small Cell Lung Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection control, and clot prevention."
Small Cell Lung Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, control nausea, and infection prevention."
Small Cell Lung Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection control, and prevention of blood clots."
Metastatic Bronchial Tumors (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce swelling, nausea, and infection prevention before surgery."
Metastatic Bronchial Tumors (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain control, infection prevention, and clot prevention."
Pneumonectomy or Lobectomy Surgery (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and anesthesia adjuncts before surgery."
Pneumonectomy or Lobectomy Surgery (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection control, and blood clot prevention post-surgery."
Cervical Cancer (General Treatment),"Cisplatin, Carboplatin, Paclitaxel (Taxol), Docetaxel, 5-Fluorouracil (5-FU), Cyclophosphamide, Topotecan, Bevacizumab (Avastin), Pembrolizumab (Keytruda)","Chemotherapy, targeted therapy, and immunotherapy for tumor control."
Early-Stage Cervical Cancer,"Cisplatin, 5-Fluorouracil (5-FU), Paclitaxel (Taxol), Carboplatin, Docetaxel",Chemotherapy for adjuvant treatment post-surgery or radiation therapy.
Advanced-Stage Cervical Cancer,"Cisplatin, Paclitaxel (Taxol), Carboplatin, Bevacizumab (Avastin), Pembrolizumab (Keytruda), Topotecan",Chemotherapy and immunotherapy for advanced or metastatic cancer.
Recurrent Cervical Cancer,"Cisplatin, Paclitaxel (Taxol), Topotecan, Carboplatin, Pembrolizumab (Keytruda), Bevacizumab (Avastin)",Chemotherapy and targeted therapy for recurrent tumors.
Metastatic Cervical Cancer,"Paclitaxel (Taxol), Cisplatin, Carboplatin, Pembrolizumab (Keytruda), Bevacizumab (Avastin)","Chemotherapy, immunotherapy, and targeted therapy for metastatic disease management."
Cervical Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, prevent nausea, anesthesia adjuncts, and infection prevention before surgery."
Cervical Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Early-Stage Cervical Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol, Cefazolin","Swelling reduction, nausea prevention, and infection prevention pre-surgery."
Early-Stage Cervical Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection control, and clot prevention."
Advanced-Stage Cervical Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin",Reduce swelling and control nausea before surgery.
Advanced-Stage Cervical Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-operative pain relief, blood clot prevention, and infection control."
Recurrent Cervical Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin",Pre-surgery swelling reduction and nausea prevention.
Recurrent Cervical Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection control, and blood clot prevention post-surgery."
Metastatic Cervical Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection control before surgery."
Metastatic Cervical Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and blood clot prevention."
Leukemia (Acute Lymphoblastic Leukemia - ALL),"Methotrexate, Vincristine, Dexamethasone, Prednisone, Cytarabine, Asparaginase, L-asparaginase, 6-Mercaptopurine, Cyclophosphamide",Chemotherapy agents for treatment and remission induction.
Leukemia (Acute Myeloid Leukemia - AML),"Daunorubicin, Cytarabine, Idarubicin, Mitoxantrone, Etoposide, 6-Mercaptopurine, Vincristine",Chemotherapy for aggressive treatment of AML.
Neuroblastoma,"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Etoposide, Cisplatin, Carboplatin, Retinoids","Chemotherapy, retinoids, and targeted therapies for neuroblastoma."
Brain Tumors,"Methotrexate, Vincristine, Temozolomide, Carboplatin, Cisplatin, Lomustine (CCNU), Etoposide",Chemotherapy and radiation therapy for brain tumor control.
Wilms' Tumor (Kidney Cancer),"Dactinomycin (Actinomycin D), Vincristine, Cyclophosphamide, Doxorubicin, Etoposide",Chemotherapy for treatment of kidney tumors in children.
Rhabdomyosarcoma,"Vincristine, Cyclophosphamide, Actinomycin D, Doxorubicin (Adriamycin), Ifosfamide, Etoposide",Chemotherapy and targeted therapies for rhabdomyosarcoma treatment.
Ewing's Sarcoma,"Vincristine, Doxorubicin (Adriamycin), Cyclophosphamide, Ifosfamide, Etoposide, Methotrexate",Chemotherapy for aggressive sarcoma treatment.
Retinoblastoma,"Carboplatin, Vincristine, Etoposide, Cyclophosphamide, Melphalan","Chemotherapy, radiation therapy, and surgical treatment for retinoblastoma."
Hodgkin's Lymphoma,"Doxorubicin (Adriamycin), Vincristine, Bleomycin, Prednisone, Cyclophosphamide",Chemotherapy and radiation for management of Hodgkin's lymphoma.
Non-Hodgkin's Lymphoma,"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Prednisone, Methotrexate, Rituximab",Chemotherapy and immunotherapy for lymphoid tumors.
Leukemia (Acute Lymphoblastic Leukemia - ALL) (Pre-surgery),"Dexamethasone, Prednisone, Vincristine, Methotrexate, L-Asparaginase",Pre-surgery chemotherapy to induce remission.
Leukemia (Acute Lymphoblastic Leukemia - ALL) (Post-surgery),"Methotrexate, 6-Mercaptopurine, Vincristine, Cyclophosphamide, Prednisone",Post-surgery chemotherapy for further remission and prevention.
Leukemia (Acute Myeloid Leukemia - AML) (Pre-surgery),"Daunorubicin, Cytarabine, Idarubicin, Vincristine, Etoposide",Chemotherapy for aggressive pre-surgery treatment.
Leukemia (Acute Myeloid Leukemia - AML) (Post-surgery),"Daunorubicin, Cytarabine, Idarubicin, Vincristine, Etoposide",Post-surgery chemotherapy for further treatment.
Neuroblastoma (Pre-surgery),"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Cisplatin, Etoposide",Chemotherapy to shrink tumor before surgery.
Neuroblastoma (Post-surgery),"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Etoposide, Cisplatin",Chemotherapy to eliminate remaining tumor cells.
Brain Tumors (Pre-surgery),"Methotrexate, Vincristine, Dexamethasone, Prednisone, Carboplatin",Pre-surgery chemotherapy and radiation therapy preparation.
Brain Tumors (Post-surgery),"Temozolomide, Vincristine, Etoposide, Methotrexate, Lomustine",Post-surgery chemotherapy for brain tumor management.
Wilms' Tumor (Kidney Cancer) (Pre-surgery),"Dactinomycin (Actinomycin D), Vincristine, Cyclophosphamide, Doxorubicin",Pre-surgery chemotherapy to shrink tumors.
Wilms' Tumor (Kidney Cancer) (Post-surgery),"Dactinomycin (Actinomycin D), Vincristine, Cyclophosphamide, Doxorubicin",Post-surgery chemotherapy for remaining tumor cells.
Rhabdomyosarcoma (Pre-surgery),"Vincristine, Cyclophosphamide, Actinomycin D, Doxorubicin, Ifosfamide",Pre-surgery chemotherapy to shrink tumor.
Rhabdomyosarcoma (Post-surgery),"Vincristine, Cyclophosphamide, Actinomycin D, Doxorubicin, Ifosfamide",Post-surgery chemotherapy for complete remission.
Ewing's Sarcoma (Pre-surgery),"Vincristine, Doxorubicin, Cyclophosphamide, Ifosfamide, Methotrexate",Pre-surgery chemotherapy for tumor reduction.
Ewing's Sarcoma (Post-surgery),"Vincristine, Doxorubicin, Cyclophosphamide, Ifosfamide, Etoposide",Post-surgery chemotherapy for disease control.
Retinoblastoma (Pre-surgery),"Carboplatin, Vincristine, Cyclophosphamide, Etoposide",Pre-surgery chemotherapy for tumor control.
Retinoblastoma (Post-surgery),"Carboplatin, Vincristine, Cyclophosphamide, Etoposide, Melphalan",Post-surgery chemotherapy for any residual tumor cells.
Hodgkin's Lymphoma (Pre-surgery),"Doxorubicin (Adriamycin), Vincristine, Bleomycin, Cyclophosphamide",Pre-surgery chemotherapy for tumor shrinkage.
Hodgkin's Lymphoma (Post-surgery),"Doxorubicin (Adriamycin), Vincristine, Bleomycin, Cyclophosphamide",Post-surgery chemotherapy for remission and prevention.
Non-Hodgkin's Lymphoma (Pre-surgery),"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Methotrexate",Pre-surgery chemotherapy to reduce tumor size.
Non-Hodgkin's Lymphoma (Post-surgery),"Cyclophosphamide, Doxorubicin (Adriamycin), Vincristine, Methotrexate",Post-surgery chemotherapy for tumor elimination.
Chordoma (Childhood),"Imatinib, Doxorubicin (Adriamycin), Cisplatin, Cyclophosphamide, Ifosfamide, Methotrexate, Temozolomide",Chemotherapy and targeted therapy for chordoma treatment.
Chordoma (Relapsed),"Doxorubicin (Adriamycin), Ifosfamide, Cisplatin, Etoposide, Temozolomide",Chemotherapy for relapsed chordoma.
Chordoma (Metastatic),"Imatinib, Temozolomide, Doxorubicin (Adriamycin), Cisplatin, Cyclophosphamide",Chemotherapy and targeted therapies for metastatic chordoma.
Chordoma (Childhood) (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Reduce inflammation, nausea prevention, anesthesia adjuncts, and infection prevention before surgery."
Chordoma (Childhood) (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Chordoma (Relapsed) (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation reduction, nausea management, and infection prevention."
Chordoma (Relapsed) (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, blood clot prevention, and infection control."
Chordoma (Metastatic) (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin",Pre-surgery swelling reduction and nausea prevention.
Chordoma (Metastatic) (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection control, and blood clot prevention."
Colorectal Cancer (General Treatment),"Fluorouracil (5-FU), Leucovorin, Capecitabine, Oxaliplatin, Irinotecan, Bevacizumab (Avastin), Cetuximab (Erbitux), Panitumumab (Vectibix), Trifluridine/tipiracil (Lonsurf)","Chemotherapy, targeted therapy, and immunotherapy for treatment and tumor control."
Early-Stage Colorectal Cancer,"Fluorouracil (5-FU), Leucovorin, Oxaliplatin, Capecitabine",Adjuvant chemotherapy for early-stage disease to prevent recurrence.
Advanced-Stage Colorectal Cancer,"Fluorouracil (5-FU), Leucovorin, Oxaliplatin, Irinotecan, Bevacizumab (Avastin), Cetuximab (Erbitux)",Chemotherapy and targeted therapy for advanced or metastatic cancer.
Recurrent Colorectal Cancer,"Fluorouracil (5-FU), Leucovorin, Irinotecan, Oxaliplatin, Bevacizumab (Avastin), Cetuximab (Erbitux)",Chemotherapy and targeted therapies for recurrent disease.
Metastatic Colorectal Cancer,"Fluorouracil (5-FU), Leucovorin, Capecitabine, Oxaliplatin, Irinotecan, Bevacizumab (Avastin), Cetuximab (Erbitux)","Chemotherapy, targeted therapy, and immunotherapy for metastatic disease management."
Colorectal Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection control before surgery."
Colorectal Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and blood clot prevention."
Early-Stage Colorectal Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Mannitol, Cefazolin","Pre-surgery preparation for chemotherapy or radiation therapy, nausea control, and infection prevention."
Early-Stage Colorectal Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, blood clot prevention, and infection control after surgery."
Advanced-Stage Colorectal Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery swelling control, nausea management, and infection prevention."
